id,target,CCJ_government,CCJ_private,bank_bal2,land_worth,bank_balance,wages,house_value,savings,amount_owed,wages_debt_percent,stocks_profile,difference_wages_last_year,properties,mortgage
145,0,,,697,0,81,4165,1342,179,995,37.4,41.6,-0.4,0,0
146,1,,,-151,0,321,443,254,0,3,100,3.3,0.7,0,0
147,0,0,0,-18,96,220,324,277,0,6,74.6,-17.4,0,1,1
148,0,0,0,1168,0,1534,2647,1847,352,140,79.5,-21.7,0.1,0,0
149,0,0,0,537,0,3,315,834,383,0,0,38.3,0.3,0,0
150,0,0,0,-276,1677,56,1593,269,0,81,39.8,-116.4,0.1,2,1
151,0,0,0,149,0,669,1305,1385,0,4,11.1,-2.5,0.5,0,0
152,0,0,0,132,0,460,752,458,0,141,51.8,-26.6,-0.1,0,0
153,0,0,0,-48,2115,1363,1373,3197,848,0,100,4.3,0,4,1
154,0,0,0,146,0,1702,3145,487,350,267,100,31,1,0,0
155,0,0,0,-1197,4500,0,211,170,0,0,100,-684.4,0,1,1
156,1,,,0,0,0,462,126,0,21,100,0,0.2,0,0
157,0,0,0,-55,2578,470,487,3088,0,0,100,1.5,0,0,0
158,0,0,0,1687,14112,3777,6152,40608,0,389,100,-4.3,-0.1,2,1
159,0,0,0,69,0,13,1533,286,0,417,28,102.4,0.4,0,0
160,0,0,0,11,0,127,326,253,0,5,38.8,-40.2,0.1,0,0
161,0,0,0,237,0,1386,1794,1411,164,120,53.3,-1.4,-0.3,0,0
162,1,1,0,-72,0,10,516,-263,0,616,45.9,17.5,0.1,0,0
163,0,0,0,2732,1614,1607,13466,14822,400,30,95,-2.9,-0.1,1,1
164,0,0,0,102,0,680,1151,521,283,98,64.7,-30.1,0,0,0
165,0,0,0,-450,158,2837,4330,5928,165,17,-571.4,0.9,0,1,1
166,0,0,0,1827,25104,2481,4459,14184,1710,152,100,2.4,0,4,1
167,0,0,0,-143,0,349,809,638,0,0,18.8,-25.3,-0.2,0,0
168,0,0,0,2135,29221,2131,4321,7798,2304,106,77.9,-1.8,0,1,1
169,0,0,0,72,66,13,259,692,0,0,100,-7.4,0,1,1
170,1,,,-150,0,0,2798,602,83,1077,41.6,-2.2,0.7,0,0
171,0,0,0,-178,2509,85,993,128,0,0,100,-156.1,-0.3,1,1
172,0,0,0,42,1686,42,42,339,0,0,100,-5.5,0,1,1
173,0,0,0,13793,78702,0,1711,35108,0,0,92.6,-8,0,1,1
174,0,0,0,178,0,564,1335,371,410,114,39.5,-16.5,0.2,0,0
175,0,0,0,-68,0,526,2280,1190,4,583,50,-24.7,-0.2,0,0
176,1,1,1,572,0,157,448,-183,0,316,22.5,-10.1,3.3,0,0
177,0,0,0,-171,0,72,1192,666,425,0,0,-57,-0.3,0,0
178,0,,,169,138,604,1493,870,0,326,100,-43.6,0.1,0,0
179,0,1,0,-90,0,193,988,237,0,56,67.2,-77.4,-1.5,0,0
180,0,0,0,-21,0,301,354,358,0,0,100,37.6,0.2,0,0
181,0,0,0,-16,0,33,62,-114,0,0,12.2,-81.9,4.8,0,0
182,0,,,47,0,13,71,34,0,22,8.5,-1011.8,8,0,0
183,0,0,0,-109,816,156,300,676,0,117,81.2,-19.3,0,1,1
184,0,0,0,226,0,6,1544,1424,0,0,35.1,18.7,-0.2,0,0
185,0,0,0,-155,0,4,2551,640,0,429,46,-20,-0.2,0,0
186,0,0,0,395,37037,1708,3592,45677,4990,39,0,-3.1,0,2,1
187,0,0,0,21,0,27,139,118,0,0,20,-2.8,-0.2,0,0
188,0,0,0,358,0,17,2705,2015,473,420,38.3,35.7,0.4,0,0
189,0,0,0,1012,1864,734,5261,1166,0,242,64.9,237.1,0.1,2,1
190,0,0,0,0,0,242,242,340,16,0,100,-19.3,-0.5,0,0
191,0,0,0,-49,0,42,263,-125,0,129,87.7,57.4,-2.1,0,0
192,0,0,0,961,0,1671,1702,47851,0,0,0,-1,0,0,0
193,0,0,0,82,887,11,40,309,0,0,100,15.5,0,1,1
194,0,0,0,-71,0,47,537,91,0,18,36,-115.9,0.4,0,0
195,0,0,0,-487,0,469,1641,1483,0,150,24.1,-40.2,-1,0,0
196,0,,,25,111453,2,26666,61302,19095,245,25.4,0,0,3,1
197,0,0,0,478,14514,590,1032,7265,456,711,100,5.6,0,1,1
198,0,0,0,-16,0,115,755,322,327,30,57.5,-10.6,0.1,0,0
199,0,0,0,736,1469,0,1214,649,22,0,100,7.7,0.1,1,1
200,0,0,0,0,100,9,32,52,0,0,100,167.3,0.2,2,1
201,1,2,2,-288,0,6,1074,-175,0,523,42.9,157.5,0.2,0,0
202,0,0,0,-1103,2042,166,6725,2991,0,851,70.7,-55.4,0,1,1
203,0,0,0,457,999,674,1702,4190,743,400,75.5,10.7,0,2,1
204,0,0,0,33,2155,132,2486,1237,74,169,39.8,-4,0.1,0,0
205,0,0,0,341,0,419,975,392,337,99,74.7,4.3,-0.2,0,0
206,1,3,4,-4121,0,17,1109,-3624,0,1810,0,278.7,-0.4,0,0
207,0,0,0,1413,824,18461,18462,12817,5229,39,100,-116.6,-0.9,4,1
208,0,0,0,342,0,89,3366,915,0,1693,41.8,22,-0.5,0,0
209,1,3,0,726,0,17,2130,1361,0,1270,100,85.5,-0.3,0,0
210,0,0,0,2485,614,1159,4034,2362,9291,4083,78.9,-0.3,0,0,0
211,0,0,0,116,0,26,341,199,87,0,100,-2.6,0.1,0,0
212,0,0,0,-193,3939,0,1117,193,0,697,50.3,23.5,-0.2,1,1
213,0,0,0,390,15344,1478,1805,352,65,35,100,263.9,0.1,2,1
214,0,0,0,-20579,0,0,34662,2729,0,3099,53.3,-300.7,0.1,0,0
215,0,0,0,348,10732,529,570,3377,699,21,100,-2,0,5,1
216,0,0,0,123,0,156,1344,265,0,643,50.6,294.3,-1.1,0,0
217,0,0,0,1075,0,977,1004,1308,0,0,0,109,-0.1,0,0
218,0,0,0,321,16780,1988,2964,5287,0,184,99.6,-4.2,0,4,1
219,0,0,0,-80366,0,116667,116975,117375,0,0,0,-80.4,0,0,0
220,0,0,0,847,0,2190,3162,3617,0,308,88.4,-23.1,0.1,0,0
221,0,0,0,478,0,506,1370,679,566,135,59,-52.3,0,0,0
222,0,0,0,2,0,10,11023,5498,350,401,8.6,-103,0.2,0,0
223,0,0,0,-699,8104,3488,3788,135,0,262,100,-260,0,4,1
224,0,0,0,4,0,357,357,133,0,0,0,-34.2,-0.2,0,0
225,0,0,0,100,236,697,1287,224,57,1066,10.6,80.9,-0.1,1,1
226,0,0,0,100,235,658,2156,1524,326,198,61.5,24.9,0.5,3,1
227,0,0,0,50,0,9,28,-271,0,1,14.4,-59.9,16.2,0,0
228,0,0,0,-30,0,65,73,52,0,0,100,-71.1,-0.2,0,0
229,0,0,0,1056,4078,6337,22692,24931,3864,215,100,-4.5,0,5,1
230,0,0,0,-1395,0,111,40740,32435,0,412,100,-1.1,0.1,0,0
231,0,0,0,710,0,2262,2941,2878,1506,239,43.3,-33.1,-0.3,0,0
232,0,0,0,390,0,61,730,469,0,108,53.4,109.8,-1.9,0,0
233,0,0,0,98,0,326,544,192,40,334,79.5,73,0.5,0,0
234,0,0,0,597,0,1088,2571,2313,162,85,100,29.2,0.5,0,0
235,0,0,0,1,0,50,50,50,0,0,0,2,0,0,0
236,0,0,0,158,1892,0,0,122,0,0,100,5.7,0,5,0
237,0,0,0,1568,783,4250,4453,7002,3844,5,100,18.2,0,1,1
238,0,0,0,168,0,373,539,286,1231,2,100,1.9,0,0,0
239,0,,,29,0,150,206,204,0,0,53,-36.3,0.3,0,0
240,0,0,0,867,0,221,2451,2094,738,627,-5.9,-81.4,0,0,0
241,0,,,49,165,8,51,155,0,0,100,31.6,0.2,2,1
242,1,3,12,-234,0,90,4275,101,0,1688,47.8,-202.6,-0.1,0,0
243,0,0,0,-14,0,131,396,166,190,6,97.6,-44.5,0.2,0,0
244,0,0,0,253,372,852,971,1125,94,55,100,13,-0.1,0,0
245,0,,,97,0,772,958,541,31,238,57.6,-46.5,-0.8,0,0
246,0,0,0,273,0,81,1468,1001,105,19,100,-14.8,0.3,0,0
247,0,0,0,367,366,3875,6012,4262,2483,264,54.3,-27.2,-0.1,2,1
248,0,0,0,73,0,1038,1189,481,232,28,46.1,5,0.4,0,0
249,0,0,0,-285,0,241,1484,1304,0,8,66.7,-10,-0.1,0,0
250,0,0,0,195,0,574,1858,1201,99,3,65.5,1.7,0.2,0,0
251,0,0,0,-234,0,34,10997,6954,0,181,39.4,-7,-0.1,0,0
252,0,0,0,164,0,196,653,317,207,39,100,20.9,0,0,0
253,0,0,0,538,0,926,2857,1289,0,202,72.8,-17.1,0,0,0
254,0,0,0,-12,108,15,723,168,0,112,50.2,40.7,-0.1,0,0
255,0,0,0,741,0,1438,2230,1843,0,38,97.2,-20.9,0,0,0
256,0,0,0,266,0,998,1923,1926,0,24,100,4.9,0,0,0
257,0,0,0,-174,4,199,1265,205,0,0,100,-39,0,1,1
258,0,0,0,39,0,16,334,200,0,0,100,29.4,0,0,0
259,0,0,0,214,0,1282,6198,4206,495,0,54.5,9.6,-0.1,0,0
260,0,0,0,114,0,1361,1760,829,397,164,36.2,-12.4,0.6,0,0
261,0,0,0,343,95,393,986,648,0,51,64.4,100.4,-0.5,0,0
262,0,0,0,26,1659,112,861,721,0,266,62.7,2.1,0,2,1
263,0,,,85,0,141,443,1018,0,17,100,25.4,0.2,0,0
264,0,0,0,0,0,86,107,102,0,2,100,0,-2.5,0,0
265,1,,,10,0,0,28,-116,0,0,0,-11,0.4,0,0
266,0,0,0,-19,0,5,198,82,0,44,70.8,-294.5,0.3,0,0
267,0,,,-49,0,1,56,-438,0,0,13.9,4.8,-2.5,0,0
268,0,0,0,-167,8994,226,551,2052,88,140,100,-31.6,0,1,1
269,0,0,0,101,688,604,708,373,135,217,91.7,-65,-0.4,1,1
270,0,0,0,-345,0,41,5840,1663,577,797,35.7,-16,-0.2,0,0
271,1,,,294,5828,220,496,2667,0,398,100,,,0,0
272,0,0,0,2330,257,65,6471,1813,228,490,46.3,-13.4,0.2,1,1
273,0,0,0,-12,0,686,715,586,51,0,100,-40.7,-0.9,0,0
274,0,0,0,15,0,726,798,205,0,8,100,-40.6,-0.1,0,0
275,0,0,0,25,0,1,799,169,43,48,41.1,-1.4,-0.1,0,0
276,0,0,0,43,0,189,234,223,0,8,99.8,-36.8,-0.2,0,0
277,0,2,0,-269,0,27,206,-67,0,49,68.1,373.4,4,0,0
278,0,0,0,-38,0,214,406,331,0,42,90.7,6.4,0.1,0,0
279,0,0,0,228,0,26,436,250,136,65,64.7,69.1,1.3,0,0
280,0,0,0,-818,1411,7065,38127,30218,6100,4,100,0.5,0,1,1
281,0,0,0,-36,0,0,928,291,0,135,54.5,69.1,-0.2,0,0
282,0,0,0,-76,0,668,3490,610,0,1219,24,-102,-1.1,0,0
283,0,0,0,164,0,290,371,269,72,17,100,5.3,-0.4,0,0
284,0,0,0,1076,0,482,569,2979,55,16,100,23.2,-0.1,0,0
285,0,0,0,-52,0,19,19,132,0,0,100,-36.5,0.9,0,0
286,0,0,0,97,0,67,493,431,26,113,55.6,-24.4,-1.3,0,0
287,0,0,0,2949,0,36447,36605,50198,5158,2,100,7.7,0,0,0
288,0,0,0,434,3367,1144,3261,10761,2347,0,0,-16.1,-0.1,0,0
289,0,0,0,1235,1230,6990,9812,10327,1340,629,56.7,3.3,0,1,1
290,0,0,0,-35,0,55,274,1090,0,0,-22.7,10.4,-0.3,0,0
291,0,0,0,153,0,834,1182,144,654,48,100,-51.8,0,0,0
292,0,0,0,25,0,258,3573,1330,65,841,90.4,10.5,-1.4,0,0
293,0,0,0,1370,0,11298,12930,13529,324,0,99,7.9,0,0,0
294,0,0,0,-167,0,3,1629,93,0,63,98.4,-196.5,-0.3,0,0
295,0,0,0,1193,0,0,2006,1087,0,211,100,3.9,-0.2,0,0
296,0,0,0,-285,0,14,1556,-64,374,806,30.2,-77.2,0.2,0,0
297,0,0,0,5142,145,1120,11013,9265,0,5,100,39.2,0.2,0,0
298,0,0,0,-175,0,2,2,153,0,0,100,-94.2,0,0,0
299,1,3,0,-60,0,0,7,-1545,0,9,100,-3.3,4.4,0,0
300,0,0,0,996,753,2946,6624,3826,1850,1243,100,20,-0.1,2,1
301,0,0,0,-59,273,512,545,800,0,4,91.2,14.1,-0.1,1,1
302,0,0,0,-148,0,522,608,565,0,7,94.9,-32.7,0,0,0
303,0,0,0,-30,0,29,439,109,0,2,100,-34.7,0.3,0,0
304,0,0,0,-10,0,478,1216,155,0,121,18.5,17.1,-0.4,0,0
305,0,0,0,343,1159,997,3922,902,130,0,100,6.4,0,1,1
306,0,0,0,378,3699,225,1460,3488,1292,34,100,22.5,0.1,1,1
307,0,0,0,-81,0,1988,3173,1448,0,70,86.9,-15.8,0.2,0,0
308,0,0,0,1363,0,2041,14964,14017,550,46,82,0.3,-0.1,0,0
309,0,0,0,114,2714,356,548,200,0,31,99.2,-0.4,-0.1,1,1
310,0,0,0,-50,1358,254,277,245,0,0,100,-37.2,0,0,0
311,0,0,0,399,0,555,1055,916,0,0,100,-9.5,-0.9,0,0
312,0,0,0,-157,0,0,0,429,1462,0,100,-2.4,0,0,0
313,0,0,0,105,0,124,630,566,2,16,-696,-2.3,-0.5,0,0
314,0,0,0,-22,0,19,418,211,0,78,62.9,19.6,-0.1,0,0
315,0,0,0,-1,0,1538,1773,3873,85,0,0,-0.7,0,0,0
316,0,0,0,6,0,713,996,646,0,65,100,0,-0.2,0,0
317,0,0,0,84,0,532,555,766,583,45,88.9,52.4,0.8,0,0
318,0,0,0,-11,20235,566,5308,10106,0,2,100,-0.1,0,1,1
319,0,0,0,328,4921,607,828,581,105,11,100,-15.1,-0.1,2,1
320,0,0,0,-410,2522,1294,1302,3935,97,0,100,-14.2,-0.1,2,1
321,0,0,0,62,0,132,256,114,0,0,100,79.4,0,0,0
322,0,0,0,-61,0,19,46,-78,0,0,95.5,-851.2,0.7,0,0
323,0,0,0,-48,0,18,870,329,0,75,44.3,-18,-0.1,0,0
324,0,0,0,-64,0,904,1084,1015,0,5,23.7,-19.4,-0.5,0,0
325,0,0,0,109,453,490,503,839,65,3,100,-8.7,0.2,1,0
326,0,0,0,-689,0,20,1153,157,0,322,40.1,-430.6,-0.1,0,0
327,0,0,0,440,0,502,2618,1607,0,253,70,17,0,0,0
328,0,0,0,195,0,421,1573,1459,0,22,58.3,-4.1,0.2,0,0
329,0,0,0,114,0,315,514,540,0,100,56.5,-0.6,0,0,0
330,0,0,0,1691,90780,786,1951,25724,0,1109,100,-4.9,0,6,1
331,0,0,0,-411,0,318,948,37,0,28,61.8,-1074.5,1.6,0,0
332,0,0,0,-91,0,2,88,126,0,22,100,-4.5,0,0,0
333,0,0,0,758,0,980,2524,556,847,8,66.5,7.5,-0.1,0,0
334,0,0,0,-102,0,48,589,174,0,35,78.6,26.6,-0.2,0,0
335,0,0,0,741,0,296,1293,1049,0,54,80.8,46,0.1,0,0
336,0,0,0,-25,2252,547,814,980,60,22,100,-21.5,0,1,1
337,0,0,0,189,0,382,1096,484,192,0,100,19.5,0.3,0,0
338,1,0,0,-621,0,0,381,163,0,494,0,-64.4,0,0,0
339,0,0,0,44,0,1370,2188,458,12,208,100,9.4,0.7,0,0
340,0,0,0,2,0,1,134,46,0,0,99.2,-100.2,-0.1,0,0
341,0,0,0,326,1886,8,29,6757,177,15,100,0,-0.1,2,0
342,0,0,0,108,112,660,846,501,37,90,45.9,6.6,0.1,1,1
343,0,0,0,0,0,625,1339,4310,293,201,69.4,-15.5,-0.3,0,0
344,0,0,0,-110,287,285,342,460,0,14,-66.7,-20.6,-0.2,1,1
345,0,0,0,661,3491,1513,1868,3796,169,222,94.4,45.3,0.4,3,1
346,0,0,0,2532,42710,0,3081,3688,0,586,35,4.2,0,7,1
347,0,0,0,121,0,411,1891,1173,269,4,100,3.5,0.1,0,0
348,0,,,82,1683,5,2788,345,238,465,54.4,-2.5,0,1,1
349,0,0,0,134,15666,0,32323,10133,0,0,40.2,2.6,0,1,1
350,0,0,0,-58,348,0,143,286,0,19,39.8,-65.5,-0.4,4,1
351,0,0,0,228,0,655,1253,1415,485,154,77.5,-4.3,0,0,0
352,0,,,-442,0,21,3759,1708,0,572,19.9,-56,0.7,0,0
353,0,0,0,162,0,847,3802,2463,0,200,71.6,5.9,0.2,0,0
